,score,player,gw,owner,team,owner_color
190,11.0,John Lundstram,17.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
191,6.0,Bernd Leno,18.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
192,6.0,Sadio Mané,19.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
193,11.0,Sadio Mané,20.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
194,11.0,César Azpilicueta,21.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
195,9.0,Alisson Ramses Becker,22.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
196,13.0,Alisson Ramses Becker,23.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
197,9.0,Alisson Ramses Becker,24.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
198,9.0,Youri Tielemans,25.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
199,7.0,John Lundstram,26.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
200,16.0,Diogo Jota,27.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
201,12.0,Diogo Jota,28.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
202,13.0,Willian Borges Da Silva,29.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
203,13.0,Harry Kane,1.0,Dominic Drewery,Chopporoos,#1e2832
204,11.0,Daniel Ceballos Fernández,2.0,Dominic Drewery,Chopporoos,#1e2832
205,10.0,David Silva,3.0,Dominic Drewery,Chopporoos,#1e2832
206,16.0,Jamie Vardy,4.0,Dominic Drewery,Chopporoos,#1e2832
207,9.0,David de Gea,5.0,Dominic Drewery,Chopporoos,#1e2832
208,11.0,David Silva,6.0,Dominic Drewery,Chopporoos,#1e2832
209,12.0,Jamie Vardy,7.0,Dominic Drewery,Chopporoos,#1e2832
210,8.0,Willian Borges Da Silva,8.0,Dominic Drewery,Chopporoos,#1e2832
211,11.0,David Silva,9.0,Dominic Drewery,Chopporoos,#1e2832
212,20.0,Jamie Vardy,10.0,Dominic Drewery,Chopporoos,#1e2832
213,11.0,Leandro Trossard,11.0,Dominic Drewery,Chopporoos,#1e2832
214,12.0,Jamie Vardy,12.0,Dominic Drewery,Chopporoos,#1e2832
215,12.0,Jamie Vardy,13.0,Dominic Drewery,Chopporoos,#1e2832
216,6.0,Jamie Vardy,14.0,Dominic Drewery,Chopporoos,#1e2832
217,9.0,David Silva,15.0,Dominic Drewery,Chopporoos,#1e2832
218,16.0,Harry Kane,16.0,Dominic Drewery,Chopporoos,#1e2832
219,8.0,Joseph Gomez,17.0,Dominic Drewery,Chopporoos,#1e2832
220,16.0,Willian Borges Da Silva,18.0,Dominic Drewery,Chopporoos,#1e2832
221,8.0,Harry Kane,19.0,Dominic Drewery,Chopporoos,#1e2832
222,8.0,Joseph Gomez,20.0,Dominic Drewery,Chopporoos,#1e2832
223,12.0,Gerard Deulofeu,21.0,Dominic Drewery,Chopporoos,#1e2832
224,14.0,Abdoulaye Doucouré,22.0,Dominic Drewery,Chopporoos,#1e2832
225,6.0,Joseph Gomez,23.0,Dominic Drewery,Chopporoos,#1e2832
226,12.0,Alex Oxlade-Chamberlain,24.0,Dominic Drewery,Chopporoos,#1e2832
227,16.0,Antonio Rüdiger,25.0,Dominic Drewery,Chopporoos,#1e2832
228,15.0,Harry Maguire,26.0,Dominic Drewery,Chopporoos,#1e2832
229,6.0,David de Gea,27.0,Dominic Drewery,Chopporoos,#1e2832
230,11.0,Michail Antonio,28.0,Dominic Drewery,Chopporoos,#1e2832
231,11.0,Jamie Vardy,29.0,Dominic Drewery,Chopporoos,#1e2832
