,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,position,team_name,friendly_name
322,100.0,100.0,165809,0,0,-2,2,2,3,4.3,3.8,1,Bernardo Mota,3.3,218,False,,2019-11-13T14:30:18.982377Z,78,165809.jpg,3.6,Veiga de Carvalho e Silva,8.7,False,,a,11,43,86,951746,5699,2034420,7690,0.4,11.0,Bernardo Silva,1492,5,5,6,22,0,0,0,5,0,0,5,394,479.4,517.5,749.0,174.4,MID,Man City,Bernardo Mota Veiga de Carvalho e Silva
323,100.0,100.0,20664,0,0,-2,2,3,3,2.0,1.5,0,David,1.0,219,False,,2020-02-19T22:00:17.062940Z,73,20664.jpg,4.7,Silva,4.1,False,,a,11,43,90,1353370,2178,1454849,4900,0.1,12.3,David Silva,1252,3,9,7,12,0,0,0,0,0,0,8,355,385.4,512.3,623.0,152.0,MID,Man City,David Silva
324,100.0,100.0,209244,0,0,-4,4,0,3,2.0,1.5,2,Phil,1.0,220,False,,2019-09-17T15:30:09.993154Z,51,209244.jpg,1.4,Foden,0.4,False,,a,11,43,19,21794,770,45929,447,0.2,3.7,Foden,353,0,1,0,6,0,0,0,0,0,0,0,83,85.0,148.2,121.0,35.4,MID,Man City,Phil Foden
325,100.0,100.0,27789,0,0,-3,3,0,3,2.3,1.8,1,Fernando,1.3,221,False,,2020-01-30T10:24:16.230780Z,52,27789.jpg,1.9,Luiz Rosa,0.7,False,,a,11,43,44,43311,423,85384,516,0.2,8.5,Fernandinho,1995,0,0,9,23,1,0,0,6,1,0,1,329,466.0,104.6,135.0,70.6,MID,Man City,Fernando Luiz Rosa
326,100.0,100.0,59859,0,0,-3,3,0,3,3.0,2.5,2,Ilkay,2.0,222,False,,2019-12-21T21:00:16.830224Z,52,59859.jpg,2.1,Gündogan,1.3,False,,a,11,43,52,119336,1174,227770,1382,0.4,10.0,Gündogan,1585,2,1,4,26,0,0,1,7,0,0,4,310,335.4,535.1,336.0,120.7,MID,Man City,Ilkay Gündogan
327,0.0,0.0,145235,0,0,-3,3,0,2,0.0,0.0,0,José Ángel,0.0,440,False,Joined RB Leipzig on loan until the end of the season on 31/1. - Expected back 01 Jul,2020-01-31T20:30:19.011146Z,47,145235.jpg,1.8,Esmorís Tasende,0.2,False,,n,11,43,11,18848,7,29515,106,0.0,2.3,Angeliño,422,0,1,0,7,0,0,0,1,0,0,1,94,92.6,164.0,58.0,31.6,DEF,Man City,José Ángel Esmorís Tasende
328,100.0,100.0,220566,0,0,-1,1,1,3,5.7,5.2,1,Rodrigo,4.7,443,False,,2019-11-23T19:30:19.850877Z,54,220566.jpg,2.8,Hernandez,1.8,False,,a,11,43,73,226523,2928,216362,4970,0.9,13.5,Rodrigo,1953,3,1,10,25,0,0,0,7,0,0,5,416,496.0,424.1,150.0,106.9,MID,Man City,Rodrigo Hernandez
329,100.0,100.0,121145,0,0,-3,3,0,2,1.0,0.5,0,João Pedro Cavaco,0.0,518,False,,2020-01-27T16:30:24.325085Z,52,121145.jpg,2.3,Cancelo,0.8,False,,a,11,43,25,123741,259,181423,253,0.0,4.8,Cancelo,783,0,0,2,10,0,0,0,2,0,0,3,180,168.6,173.5,81.0,42.3,DEF,Man City,João Pedro Cavaco Cancelo
330,,,432656,0,0,0,0,0,2,1.0,0.5,0,Eric,0.0,544,False,,,45,432656.jpg,1.8,Garcia,0.0,False,,a,11,43,11,7533,27,6717,55,0.0,2.4,Garcia,269,0,0,1,5,0,0,0,0,0,0,0,59,59.4,5.5,0.0,6.4,DEF,Man City,Eric Garcia
331,,,17601,0,0,0,0,0,1,1.0,0.5,0,Scott,0.0,562,False,,,40,17601.jpg,0.0,Carson,0.1,False,,a,11,43,0,7294,33,3874,92,0.0,0.0,Carson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,GK,Man City,Scott Carson
332,100.0,75.0,214590,0,0,-2,2,1,2,6.2,4.3,7,Aaron,6.2,122,False,,2020-03-04T10:30:26.229276Z,53,214590.jpg,3.3,Wan-Bissaka,14.2,False,,a,12,1,85,900029,20374,2153993,6594,1.2,16.0,Wan-Bissaka,2330,0,2,7,28,0,0,0,5,0,0,12,477,579.4,338.1,90.0,100.9,DEF,Man Utd,Aaron Wan-Bissaka
333,100.0,75.0,95658,0,0,-2,2,1,2,6.8,4.7,5,Harry,6.8,160,False,,2020-03-05T21:30:18.986938Z,53,95658.jpg,3.1,Maguire,10.7,False,,a,12,1,89,618642,14594,1125039,6551,1.3,16.8,Maguire,2610,1,0,8,30,0,0,0,4,0,0,5,499,613.2,167.6,335.0,112.0,DEF,Man Utd,Harry Maguire
