,code,team_h,team_h_score_x,team_a,team_a_score_x,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty,player_id,position,first_name,photo,second_name,team,team_name,news,news_added,id,team_h_difficulty,team_h_score_y,team_h_name,team_a_difficulty,team_a_score_y,team_a_name
70,1060031,20,,1,,33.0,False,0,False,2020-04-13 19:00:00,Gameweek 33,False,3,7,DEF,Laurent,51507.jpg,Koscielny,1,Arsenal,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,7,3,,Wolves,3,,Arsenal
71,1060031,20,,1,,33.0,False,0,False,2020-04-13 19:00:00,Gameweek 33,False,3,8,DEF,Konstantinos,233963.jpg,Mavropanos,1,Arsenal,Joined Nuremberg on loan until the end of the season on 13/1. - Expected back 01 Jul,2020-01-13T14:30:21.309535Z,8,3,,Wolves,3,,Arsenal
72,1060031,20,,1,,33.0,False,0,False,2020-04-13 19:00:00,Gameweek 33,False,3,9,DEF,Carl,80254.jpg,Jenkinson,1,Arsenal,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,9,3,,Wolves,3,,Arsenal
73,1060031,20,,1,,33.0,False,0,False,2020-04-13 19:00:00,Gameweek 33,False,3,10,DEF,Rob,156074.jpg,Holding,1,Arsenal,,2019-12-09T10:00:19.335279Z,10,3,,Wolves,3,,Arsenal
74,1060031,20,,1,,33.0,False,0,False,2020-04-13 19:00:00,Gameweek 33,False,3,11,FWD,Pierre-Emerick,54694.jpg,Aubameyang,1,Arsenal,,2020-01-08T14:00:18.333339Z,11,3,,Wolves,3,,Arsenal
75,1060031,20,,1,,33.0,False,0,False,2020-04-13 19:00:00,Gameweek 33,False,3,12,FWD,Alexandre,59966.jpg,Lacazette,1,Arsenal,,2019-09-01T18:30:14.246208Z,12,3,,Wolves,3,,Arsenal
76,1060031,20,,1,,33.0,False,0,False,2020-04-13 19:00:00,Gameweek 33,False,3,13,FWD,Edward,205533.jpg,Nketiah,1,Arsenal,,2019-08-08T15:30:15.638344Z,13,3,,Wolves,3,,Arsenal
77,1060031,20,,1,,33.0,False,0,False,2020-04-13 19:00:00,Gameweek 33,False,3,14,GK,Bernd,80201.jpg,Leno,1,Arsenal,,,14,3,,Wolves,3,,Arsenal
78,1060031,20,,1,,33.0,False,0,False,2020-04-13 19:00:00,Gameweek 33,False,3,15,MID,Mesut,37605.jpg,Özil,1,Arsenal,,2019-12-20T10:30:11.550604Z,15,3,,Wolves,3,,Arsenal
79,1060031,20,,1,,33.0,False,0,False,2020-04-13 19:00:00,Gameweek 33,False,3,16,MID,Henrikh,57249.jpg,Mkhitaryan,1,Arsenal,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:14.832021Z,16,3,,Wolves,3,,Arsenal
